email_text,label
"Hi Laura, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
Your Apple payment information could not be verified. Please update your billing details immediately by clicking http://paypal-security-check.info to avoid suspension.,phishing
Your Apple account has a pending invoice of $249.99 that could not be processed. Click http://secure-login-update.com/verify now to update your payment method.,phishing
"Hi Marcus, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
URGENT: We detected a login attempt to your DHL account from an unrecognized device. Verify your account now at http://account-confirm-now.net/login or your account will be locked.,phishing
"Dear Customer, your Chase Bank account has been suspended due to unusual activity. Click here immediately to verify your identity: http://account-confirm-now.net/login. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi David, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
URGENT: We detected a login attempt to your Bank of America account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
URGENT: We detected a login attempt to your Netflix account from an unrecognized device. Verify your account now at http://bit.ly/3xKqL9 or your account will be locked.,phishing
"Hi Elena, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi Sarah, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Dear Customer, your Apple account has been suspended due to unusual activity. Click here immediately to verify your identity: http://account-confirm-now.net/login. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Priya, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://secure-login-update.com/verify now to verify your PayPal account or your emails will be deleted.,phishing
"Hi Laura, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
"Hi Marcus, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Your Microsoft account has a pending invoice of $249.99 that could not be processed. Click http://account-confirm-now.net/login now to update your payment method.,phishing
"Hi Elena, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Marcus, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
"Hi John, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
Your Bank of America account has a pending invoice of $249.99 that could not be processed. Click http://bit.ly/3xKqL9 now to update your payment method.,phishing
Security Alert: Someone tried to access your Apple account. Please confirm it was you by logging in here: http://secure-login-update.com/verify. This is your final warning.,phishing
URGENT: We detected a login attempt to your PayPal account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
"Hi David, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Your Microsoft account has a pending invoice of $249.99 that could not be processed. Click http://bit.ly/3xKqL9 now to update your payment method.,phishing
Congratulations! You have been selected to receive a $500 Microsoft gift card. To claim your prize confirm your details here: http://secure-login-update.com/verify. Offer expires in 12 hours!,phishing
"Hi Laura, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi David, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
Security Alert: Someone tried to access your Netflix account. Please confirm it was you by logging in here: http://bit.ly/3xKqL9. This is your final warning.,phishing
"Dear Customer, your Amazon account has been suspended due to unusual activity. Click here immediately to verify your identity: http://paypal-security-check.info. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Sarah, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
Your Chase Bank account has a pending invoice of $249.99 that could not be processed. Click http://paypal-security-check.info now to update your payment method.,phishing
"Hey Tom, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Dear user, your Google subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://bit.ly/3xKqL9",phishing
"Dear user, your Netflix subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://paypal-security-check.info",phishing
"Hey Priya, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xKqL9 now to verify your Amazon account or your emails will be deleted.,phishing
"Hi Marcus, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
Your PayPal payment information could not be verified. Please update your billing details immediately by clicking http://account-confirm-now.net/login to avoid suspension.,phishing
"Hey John, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
Congratulations! You have been selected to receive a $500 Amazon gift card. To claim your prize confirm your details here: http://bit.ly/3xKqL9. Offer expires in 12 hours!,phishing
"Hey Priya, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Hi Sarah, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
"Hi John, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Congratulations! You have been selected to receive a $500 Bank of America gift card. To claim your prize confirm your details here: http://paypal-security-check.info. Offer expires in 12 hours!,phishing
"Hey Marcus, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your Apple account or your emails will be deleted.,phishing
Security Alert: Someone tried to access your Bank of America account. Please confirm it was you by logging in here: http://192.168.5.23/login.php. This is your final warning.,phishing
URGENT: We detected a login attempt to your Apple account from an unrecognized device. Verify your account now at http://secure-login-update.com/verify or your account will be locked.,phishing
Security Alert: Someone tried to access your Microsoft account. Please confirm it was you by logging in here: http://account-confirm-now.net/login. This is your final warning.,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://secure-login-update.com/verify now to verify your Bank of America account or your emails will be deleted.,phishing
"Hi Laura, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
"Hi David, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
Security Alert: Someone tried to access your DHL account. Please confirm it was you by logging in here: http://192.168.5.23/login.php. This is your final warning.,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your DHL account or your emails will be deleted.,phishing
